company,founded_year,sector,subsector,country,city,funding_usd_millions,valuation_usd_millions,employees,startup_stage,profitable,is_unicorn,data_source,company_key
Chainalysis,2020,Financial Services,,United States,New York,,8600.0,,Unicorn,,True,Unicorn Dataset,chainalysis
Pony.ai,2018,Industrials,,United States,Fremont,,8600.0,,Unicorn,,True,Unicorn Dataset,pony.ai
Personio,2021,Enterprise Tech,,Germany,Munich,,8500.0,,Unicorn,,True,Unicorn Dataset,personio
Anduril,2019,Industrials,,United States,Irvine,,8480.0,,Unicorn,,True,Unicorn Dataset,anduril
SumUp,2019,Financial Services,,United Kingdom,London,,8500.0,,Unicorn,,True,Unicorn Dataset,sumup
Bolt,2018,Industrials,,Estonia,Tallinn,,8400.0,,Unicorn,,True,Unicorn Dataset,bolt
Lacework,2021,Enterprise Tech,,United States,San Jose,,8300.0,,Unicorn,,True,Unicorn Dataset,lacework
Tipalti,2020,Enterprise Tech,,United States,San Mateo,,8300.0,,Unicorn,,True,Unicorn Dataset,tipalti
Tempus,2018,Healthcare & Life Sciences,,United States,Chicago,,8100.0,,Unicorn,,True,Unicorn Dataset,tempus
Swiggy,2018,Consumer & Retail,,India,Bengaluru,,8000.0,,Unicorn,,True,Unicorn Dataset,swiggy
Dream11,2019,Media & Entertainment,,India,Mumbai,,8000.0,,Unicorn,,True,Unicorn Dataset,dream11
Fireblocks,2021,Financial Services,,United States,New York,,8000.0,,Unicorn,,True,Unicorn Dataset,fireblocks
Flexport,2018,Industrials,,United States,San Francisco,,8000.0,,Unicorn,,True,Unicorn Dataset,flexport
FalconX,2021,Financial Services,,United States,San Mateo,,8000.0,,Unicorn,,True,Unicorn Dataset,falconx
Caris,2021,Healthcare & Life Sciences,,United States,Irving,,7830.0,,Unicorn,,True,Unicorn Dataset,caris
Dapper Labs,2021,Media & Entertainment,,Canada,Vancouver,,7600.0,,Unicorn,,True,Unicorn Dataset,dapper labs
Netskope,2018,Enterprise Tech,,United States,Santa Clara,,7500.0,,Unicorn,,True,Unicorn Dataset,netskope
Razorpay,2020,Financial Services,,India,Bengaluru,,7500.0,,Unicorn,,True,Unicorn Dataset,razorpay
Automattic,2013,Media & Entertainment,,United States,San Francisco,,7500.0,,Unicorn,,True,Unicorn Dataset,automattic
Carta,2019,Financial Services,,United States,San Francisco,,7400.0,,Unicorn,,True,Unicorn Dataset,carta
Snyk,2020,Enterprise Tech,,United States,Boston,,7400.0,,Unicorn,,True,Unicorn Dataset,snyk
Scale AI,2019,Enterprise Tech,,United States,San Francisco,,7300.0,,Unicorn,,True,Unicorn Dataset,scale ai
Gong,2020,Enterprise Tech,,United States,Palo Alto,,7250.0,,Unicorn,,True,Unicorn Dataset,gong
Gemini,2021,Financial Services,,United States,New York,,7100.0,,Unicorn,,True,Unicorn Dataset,gemini
Blockchain.com,2021,Financial Services,,United Kingdom,London,,7000.0,,Unicorn,,True,Unicorn Dataset,blockchain.com
Toss,2018,Financial Services,,South Korea,Seoul,,7000.0,,Unicorn,,True,Unicorn Dataset,toss
We Doctor,2015,Healthcare & Life Sciences,,China,Hangzhou,,7000.0,,Unicorn,,True,Unicorn Dataset,we doctor
Ro,2020,Healthcare & Life Sciences,,United States,New York,,7000.0,,Unicorn,,True,Unicorn Dataset,ro
ConsenSys,2021,Enterprise Tech,,United States,New York,,7000.0,,Unicorn,,True,Unicorn Dataset,consensys
Automation Anywhere,2018,Enterprise Tech,,United States,San Jose,,6800.0,,Unicorn,,True,Unicorn Dataset,automation anywhere
1Password,2021,Enterprise Tech,,Canada,Toronto,,6800.0,,Unicorn,,True,Unicorn Dataset,1password
Klarna,2011,Financial Services,,Sweden,Stockholm,,6700.0,,Unicorn,,True,Unicorn Dataset,klarna
Ziroom,2018,Consumer & Retail,,China,Beijing,,6600.0,,Unicorn,,True,Unicorn Dataset,ziroom
SVOLT,2020,Industrials,,China,Changzhou,,6510.0,,Unicorn,,True,Unicorn Dataset,svolt
National Stock Exchange of India,2020,Financial Services,,India,Mumbai,,6500.0,,Unicorn,,True,Unicorn Dataset,national stock exchange of india
Mollie,2020,Financial Services,,Netherlands,Amsterdam,,6500.0,,Unicorn,,True,Unicorn Dataset,mollie
Ola,2014,Industrials,,India,Bengaluru,,7500.0,,Unicorn,,True,Unicorn Dataset,ola
Doctolib,2019,Healthcare & Life Sciences,,France,Paris,,6400.0,,Unicorn,,True,Unicorn Dataset,doctolib
CRED,2021,Financial Services,,India,Bengaluru,,6400.0,,Unicorn,,True,Unicorn Dataset,cred
DataRobot,2019,Enterprise Tech,,United States,Boston,,6300.0,,Unicorn,,True,Unicorn Dataset,datarobot
Upgrade,2018,Financial Services,,United States,San Francisco,,6280.0,,Unicorn,,True,Unicorn Dataset,upgrade
Hinge Health,2021,Healthcare & Life Sciences,,United States,San Francisco,,6200.0,,Unicorn,,True,Unicorn Dataset,hinge health
Black Unicorn Factory,2021,Enterprise Tech,,United States,Los Angeles,,6100.0,,Unicorn,,True,Unicorn Dataset,black unicorn factory
Benchling,2021,Healthcare & Life Sciences,,United States,San Francisco,,6100.0,,Unicorn,,True,Unicorn Dataset,benchling
Applied Intuition,2020,Industrials,,United States,Sunnyvale,,6000.0,,Unicorn,,True,Unicorn Dataset,applied intuition
Commure,2021,Healthcare & Life Sciences,,United States,San Francisco,,6000.0,,Unicorn,,True,Unicorn Dataset,commure
Royole Corporation,2015,Industrials,,China,Shenzhen,,6000.0,,Unicorn,,True,Unicorn Dataset,royole corporation
iCapital Network,2021,Financial Services,,United States,New York,,6000.0,,Unicorn,,True,Unicorn Dataset,icapital network
6Sense,2021,Enterprise Tech,,United States,San Francisco,,5200.0,,Unicorn,,True,Unicorn Dataset,6sense
Attentive,2020,Enterprise Tech,,United States,Hoboken,,5990.0,,Unicorn,,True,Unicorn Dataset,attentive
Easyhome,2018,Consumer & Retail,,China,Beijing,,5780.0,,Unicorn,,True,Unicorn Dataset,easyhome
Lianjia,2016,Financial Services,,China,Beijing,,5770.0,,Unicorn,,True,Unicorn Dataset,lianjia
Cityblock Health,2020,Healthcare & Life Sciences,,United States,Brooklyn,,5700.0,,Unicorn,,True,Unicorn Dataset,cityblock health
Workato,2021,Enterprise Tech,,United States,Mountain View,,5700.0,,Unicorn,,True,Unicorn Dataset,workato
Back Market,2021,Consumer & Retail,,France,Paris,,5700.0,,Unicorn,,True,Unicorn Dataset,back market
RELEX,2022,Consumer & Retail,,Finland,Helsinki,,5700.0,,Unicorn,,True,Unicorn Dataset,relex
The Boring Company,2022,Industrials,,United States,Pflugerville,,5700.0,,Unicorn,,True,Unicorn Dataset,the boring company
Postman,2020,Enterprise Tech,,United States,San Francisco,,5600.0,,Unicorn,,True,Unicorn Dataset,postman
FiveTran,2020,Enterprise Tech,,United States,Oakland,,5600.0,,Unicorn,,True,Unicorn Dataset,fivetran
ContentSquare,2021,Enterprise Tech,,France,Paris,,5600.0,,Unicorn,,True,Unicorn Dataset,contentsquare
Trade Republic,2021,Financial Services,,Germany,Berlin,,5360.0,,Unicorn,,True,Unicorn Dataset,trade republic
Rappi,2018,Consumer & Retail,,Colombia,Bogota,,5250.0,,Unicorn,,True,Unicorn Dataset,rappi
Collibra,2019,Enterprise Tech,,Belgium,Brussels,,5250.0,,Unicorn,,True,Unicorn Dataset,collibra
OneTrust,2019,Enterprise Tech,,United States,Atlanta,,4500.0,,Unicorn,,True,Unicorn Dataset,onetrust
QuintoAndar,2019,Financial Services,,Brazil,Campinas,,5100.0,,Unicorn,,True,Unicorn Dataset,quintoandar
Monzo,2018,Financial Services,,United Kingdom,London,,5070.0,,Unicorn,,True,Unicorn Dataset,monzo
C6 Bank,2020,Financial Services,,Brazil,Sao Paulo,,5050.0,,Unicorn,,True,Unicorn Dataset,c6 bank
Redwood Materials,2021,Industrials,,United States,Carson City,,5000.0,,Unicorn,,True,Unicorn Dataset,redwood materials
Hello TransTech,2018,Industrials,,China,Shanghai,,5000.0,,Unicorn,,True,Unicorn Dataset,hello transtech
Airwallex,2019,Financial Services,,Australia,Melbourne,,5500.0,,Unicorn,,True,Unicorn Dataset,airwallex
Mambu,2021,Financial Services,,Netherlands,Amsterdam,,5500.0,,Unicorn,,True,Unicorn Dataset,mambu
Horizon Robotics,2019,Industrials,,China,Beijing,,5000.0,,Unicorn,,True,Unicorn Dataset,horizon robotics
Howden Group Holdings,2020,Insurance,,United Kingdom,London,,5000.0,,Unicorn,,True,Unicorn Dataset,howden group holdings
SambaNova Systems,2021,Enterprise Tech,,United States,Palo Alto,,5000.0,,Unicorn,,True,Unicorn Dataset,sambanova systems
ZEPZ,2021,Financial Services,,United Kingdom,London,,5000.0,,Unicorn,,True,Unicorn Dataset,zepz
OakNorth Bank,2017,Financial Services,,United Kingdom,London,,5000.0,,Unicorn,,True,Unicorn Dataset,oaknorth bank
Moon Active,2020,Media & Entertainment,,Israel,Tel Aviv,,5000.0,,Unicorn,,True,Unicorn Dataset,moon active
OfBusiness,2021,Industrials,,India,Gurgaon,,5000.0,,Unicorn,,True,Unicorn Dataset,ofbusiness
Cockroach Labs,2021,Enterprise Tech,,United States,New York,,5000.0,,Unicorn,,True,Unicorn Dataset,cockroach labs
Pine Labs,2020,Financial Services,,India,Noida,,5000.0,,Unicorn,,True,Unicorn Dataset,pine labs
Qonto,2022,Enterprise Tech,,France,Paris,,5000.0,,Unicorn,,True,Unicorn Dataset,qonto
Ola Electric Mobility,2019,Industrials,,India,Bengaluru,,5500.0,,Unicorn,,True,Unicorn Dataset,ola electric mobility
Icertis,2019,Enterprise Tech,,United States,Bellevue,,5000.0,,Unicorn,,True,Unicorn Dataset,icertis
Hopper,2021,Consumer & Retail,,Canada,Montreal,,5000.0,,Unicorn,,True,Unicorn Dataset,hopper
VerSe Innovation,2020,Media & Entertainment,,India,Bengaluru,,5000.0,,Unicorn,,True,Unicorn Dataset,verse innovation
ShareChat,2021,Media & Entertainment,,India,Bengaluru,,5000.0,,Unicorn,,True,Unicorn Dataset,sharechat
Coalition,2021,Insurance,,United States,San Francisco,,5000.0,,Unicorn,,True,Unicorn Dataset,coalition
Grafana Labs,2021,Enterprise Tech,,United States,New York,,4930.0,,Unicorn,,True,Unicorn Dataset,grafana labs
Meesho,2021,Consumer & Retail,,India,Bengaluru,,3500.0,,Unicorn,,True,Unicorn Dataset,meesho
Cerebral,2021,Healthcare & Life Sciences,,United States,San Francisco,,4800.0,,Unicorn,,True,Unicorn Dataset,cerebral
Creditas,2020,Financial Services,,Brazil,Sao Paulo,,4800.0,,Unicorn,,True,Unicorn Dataset,creditas
Reify Health,2021,Healthcare & Life Sciences,,United States,Boston,,4800.0,,Unicorn,,True,Unicorn Dataset,reify health
Chipone,2021,Industrials,,China,Beijing,,4730.0,,Unicorn,,True,Unicorn Dataset,chipone
BetterUp,2021,Enterprise Tech,,United States,San Francisco,,4700.0,,Unicorn,,True,Unicorn Dataset,betterup
Pleo,2021,Enterprise Tech,,Denmark,Copenhagen,,4700.0,,Unicorn,,True,Unicorn Dataset,pleo
SonarSource,2022,Enterprise Tech,,Switzerland,Geneva,,4700.0,,Unicorn,,True,Unicorn Dataset,sonarsource
Lyra Health,2020,Healthcare & Life Sciences,,United States,Burlingame,,5850.0,,Unicorn,,True,Unicorn Dataset,lyra health
Ramp,2021,Enterprise Tech,,United States,New York,,5800.0,,Unicorn,,True,Unicorn Dataset,ramp
Checkr,2019,Enterprise Tech,,United States,San Francisco,,4600.0,,Unicorn,,True,Unicorn Dataset,checkr
Skims,2021,Consumer & Retail,,United States,Los Angeles,,4000.0,,Unicorn,,True,Unicorn Dataset,skims
Color,2021,Healthcare & Life Sciences,,United States,Burlingame,,4600.0,,Unicorn,,True,Unicorn Dataset,color
Lendable,2021,Financial Services,,United Kingdom,London,,4580.0,,Unicorn,,True,Unicorn Dataset,lendable
Vinted,2019,Consumer & Retail,,Lithuania,Vilnius,,4530.0,,Unicorn,,True,Unicorn Dataset,vinted
VIPKid,2016,Consumer & Retail,,China,Beijing,,4500.0,,Unicorn,,True,Unicorn Dataset,vipkid
Socure,2021,Financial Services,,United States,New York,,4500.0,,Unicorn,,True,Unicorn Dataset,socure
wefox,2019,Insurance,,Germany,Berlin,,4500.0,,Unicorn,,True,Unicorn Dataset,wefox
Lenskart,2019,Consumer & Retail,,India,Faridabad,,4500.0,,Unicorn,,True,Unicorn Dataset,lenskart
Hugging Face,2022,Enterprise Tech,,United States,New York,,4500.0,,Unicorn,,True,Unicorn Dataset,hugging face
Outreach,2019,Enterprise Tech,,United States,Seattle,,4400.0,,Unicorn,,True,Unicorn Dataset,outreach
WeRide,2020,Industrials,,China,Guangzhou,,4400.0,,Unicorn,,True,Unicorn Dataset,weride
Guild Education,2019,Enterprise Tech,,United States,Denver,,4400.0,,Unicorn,,True,Unicorn Dataset,guild education
Arctic Wolf Networks,2020,Enterprise Tech,,United States,Eden Prairie,,4300.0,,Unicorn,,True,Unicorn Dataset,arctic wolf networks
OutSystems,2018,Enterprise Tech,,United States,Boston,,4300.0,,Unicorn,,True,Unicorn Dataset,outsystems
Sorare,2021,Media & Entertainment,,France,Paris,,4300.0,,Unicorn,,True,Unicorn Dataset,sorare
Zipline,2019,Industrials,,United States,South San Francisco,,4200.0,,Unicorn,,True,Unicorn Dataset,zipline
Relativity,2020,Industrials,,United States,Inglewood,,4200.0,,Unicorn,,True,Unicorn Dataset,relativity
Miaoshou Doctor,2019,Healthcare & Life Sciences,,China,Beijing,,4250.0,,Unicorn,,True,Unicorn Dataset,miaoshou doctor
ThoughtSpot,2018,Enterprise Tech,,United States,Sunnyvale,,4200.0,,Unicorn,,True,Unicorn Dataset,thoughtspot
Globalization Partners,2022,Enterprise Tech,,United States,Boston,,4200.0,,Unicorn,,True,Unicorn Dataset,globalization partners
dbt Labs,2021,Enterprise Tech,,United States,Philadelphia,,4200.0,,Unicorn,,True,Unicorn Dataset,dbt labs
SSENSE,2021,Consumer & Retail,,Canada,Montreal,,4150.0,,Unicorn,,True,Unicorn Dataset,ssense
Dataminr,2018,Enterprise Tech,,United States,New York,,4100.0,,Unicorn,,True,Unicorn Dataset,dataminr
BitPanda,2021,Financial Services,,Austria,Vienna,,4110.0,,Unicorn,,True,Unicorn Dataset,bitpanda
Weee!,2021,Consumer & Retail,,United States,Fremont,,4100.0,,Unicorn,,True,Unicorn Dataset,weee!
Skydance Media,2020,Media & Entertainment,,United States,Santa Monica,,4000.0,,Unicorn,,True,Unicorn Dataset,skydance media
Houzz,2014,Consumer & Retail,,United States,Palo Alto,,4000.0,,Unicorn,,True,Unicorn Dataset,houzz
Yello Mobile,2014,Consumer & Retail,,South Korea,Seoul,,4000.0,,Unicorn,,True,Unicorn Dataset,yello mobile
Inflection AI,2022,Enterprise Tech,,United States,Palo Alto,,4000.0,,Unicorn,,True,Unicorn Dataset,inflection ai
MEGVII,2017,Enterprise Tech,,China,Beijing,,4000.0,,Unicorn,,True,Unicorn Dataset,megvii
Greensill,2018,Financial Services,,United Kingdom,London,,4000.0,,Unicorn,,True,Unicorn Dataset,greensill
Impossible Foods,2019,Consumer & Retail,,United States,Redwood City,,4000.0,,Unicorn,,True,Unicorn Dataset,impossible foods
Radiology Partners,2018,Healthcare & Life Sciences,,United States,El Segundo,,4000.0,,Unicorn,,True,Unicorn Dataset,radiology partners
Next Insurance,2019,Insurance,,United States,Palo Alto,,4000.0,,Unicorn,,True,Unicorn Dataset,next insurance
PointClickCare,2021,Healthcare & Life Sciences,,Canada,Mississauga,,4000.0,,Unicorn,,True,Unicorn Dataset,pointclickcare
Zapier,2021,Enterprise Tech,,United States,Sunnyvale,,4000.0,,Unicorn,,True,Unicorn Dataset,zapier
Clubhouse,2021,Media & Entertainment,,United States,San Francisco,,4000.0,,Unicorn,,True,Unicorn Dataset,clubhouse
BrowserStack,2021,Enterprise Tech,,Ireland,Dublin,,4000.0,,Unicorn,,True,Unicorn Dataset,browserstack
Rubrik,2017,Enterprise Tech,,United States,Palo Alto,,4000.0,,Unicorn,,True,Unicorn Dataset,rubrik
Melio,2021,Financial Services,,United States,New York,,4000.0,,Unicorn,,True,Unicorn Dataset,melio
Vuori,2021,Consumer & Retail,,United States,Carlsbad,,4000.0,,Unicorn,,True,Unicorn Dataset,vuori
ClickUp,2020,Enterprise Tech,,United States,San Diego,,4000.0,,Unicorn,,True,Unicorn Dataset,clickup
Cerebras Systems,2018,Enterprise Tech,,United States,Los Altos,,4000.0,,Unicorn,,True,Unicorn Dataset,cerebras systems
Farmers Business Network,2020,Industrials,,United States,San Carlos,,4000.0,,Unicorn,,True,Unicorn Dataset,farmers business network
Branch,2018,Enterprise Tech,,United States,Redwood City,,4000.0,,Unicorn,,True,Unicorn Dataset,branch
Aurora Solar,2021,Industrials,,United States,San Francisco,,4000.0,,Unicorn,,True,Unicorn Dataset,aurora solar
Webflow,2021,Enterprise Tech,,United States,San Francisco,,4000.0,,Unicorn,,True,Unicorn Dataset,webflow
Yuga Labs,2022,Media & Entertainment,,United States,Miami,,4000.0,,Unicorn,,True,Unicorn Dataset,yuga labs
Digit Insurance,2021,Insurance,,India,Bengaluru,,4000.0,,Unicorn,,True,Unicorn Dataset,digit insurance
Abnormal Security,2022,Enterprise Tech,,United States,San Francisco,,4000.0,,Unicorn,,True,Unicorn Dataset,abnormal security
Medlinker,2018,Healthcare & Life Sciences,,China,Chengdu,,3920.0,,Unicorn,,True,Unicorn Dataset,medlinker
StockX,2019,Consumer & Retail,,United States,Detroit,,3800.0,,Unicorn,,True,Unicorn Dataset,stockx
MessageBird,2020,Enterprise Tech,,Netherlands,Amsterdam,,3800.0,,Unicorn,,True,Unicorn Dataset,messagebird
Articulate,2021,Enterprise Tech,,United States,New York,,3750.0,,Unicorn,,True,Unicorn Dataset,articulate
Dutchie,2021,Consumer & Retail,,United States,Bend,,3750.0,,Unicorn,,True,Unicorn Dataset,dutchie
Cohesity,2018,Enterprise Tech,,United States,San Jose,,3700.0,,Unicorn,,True,Unicorn Dataset,cohesity
Dataiku,2019,Enterprise Tech,,United States,New York,,3700.0,,Unicorn,,True,Unicorn Dataset,dataiku
GOAT,2020,Consumer & Retail,,United States,Culver City,,3700.0,,Unicorn,,True,Unicorn Dataset,goat
Noom,2021,Healthcare & Life Sciences,,United States,New York,,3700.0,,Unicorn,,True,Unicorn Dataset,noom
Papaya Global,2021,Enterprise Tech,,United States,New York,,3700.0,,Unicorn,,True,Unicorn Dataset,papaya global
Abogen,2021,Healthcare & Life Sciences,,China,Suzhou,,3700.0,,Unicorn,,True,Unicorn Dataset,abogen
Harness,2021,Enterprise Tech,,United States,San Francisco,,3700.0,,Unicorn,,True,Unicorn Dataset,harness
Whatnot,2021,Consumer & Retail,,United States,Marina del Rey,,3700.0,,Unicorn,,True,Unicorn Dataset,whatnot
o9 Solutions,2020,Enterprise Tech,,United States,Dallas,,3700.0,,Unicorn,,True,Unicorn Dataset,o9 solutions
Autograph,2022,Media & Entertainment,,United States,Santa Monica,,3660.0,,Unicorn,,True,Unicorn Dataset,autograph
Relativity,2021,Enterprise Tech,,United States,Chicago,,3600.0,,Unicorn,,True,Unicorn Dataset,relativity
Whoop,2020,Healthcare & Life Sciences,,United States,Boston,,3600.0,,Unicorn,,True,Unicorn Dataset,whoop
Course Hero,2020,Consumer & Retail,,United States,Redwood City,,3600.0,,Unicorn,,True,Unicorn Dataset,course hero
SpotOn,2021,Financial Services,,United States,San Francisco,,3600.0,,Unicorn,,True,Unicorn Dataset,spoton
Otto Bock HealthCare,2017,Healthcare & Life Sciences,,Germany,Duderstadt,,3520.0,,Unicorn,,True,Unicorn Dataset,otto bock healthcare
Indigo Ag,2017,Industrials,,United States,Boston,,3500.0,,Unicorn,,True,Unicorn Dataset,indigo ag
eToro,2023,Financial Services,,United Kingdom,London,,3500.0,,Unicorn,,True,Unicorn Dataset,etoro
HyalRoute,2020,Industrials,,Singapore,Singapore City,,3500.0,,Unicorn,,True,Unicorn Dataset,hyalroute
Rec Room,2021,Media & Entertainment,,United States,Seattle,,3500.0,,Unicorn,,True,Unicorn Dataset,rec room
Mirakl,2020,Consumer & Retail,,France,Paris,,3500.0,,Unicorn,,True,Unicorn Dataset,mirakl
Tekion,2020,Industrials,,United States,San Ramon,,3500.0,,Unicorn,,True,Unicorn Dataset,tekion
GoStudent,2021,Consumer & Retail,,Austria,Vienna,,3500.0,,Unicorn,,True,Unicorn Dataset,gostudent
Highspot,2021,Enterprise Tech,,United States,Seattle,,3500.0,,Unicorn,,True,Unicorn Dataset,highspot
Handshake,2021,Enterprise Tech,,United States,San Francisco,,3500.0,,Unicorn,,True,Unicorn Dataset,handshake
ChargeBee Technologies,2021,Financial Services,,United States,San Francisco,,3500.0,,Unicorn,,True,Unicorn Dataset,chargebee technologies
Flock Safety,2021,Consumer & Retail,,United States,Atlanta,,3500.0,,Unicorn,,True,Unicorn Dataset,flock safety
Helion Energy,2021,Industrials,,United States,Redmond,,3500.0,,Unicorn,,True,Unicorn Dataset,helion energy
Acronis,2019,Enterprise Tech,,Switzerland,Schaffhausen,,3500.0,,Unicorn,,True,Unicorn Dataset,acronis
Unacademy,2020,Consumer & Retail,,India,Bengaluru,,3440.0,,Unicorn,,True,Unicorn Dataset,unacademy
Odoo,2021,Enterprise Tech,,Belgium,Louvain-la-Neuve,,3430.0,,Unicorn,,True,Unicorn Dataset,odoo
MoonPay,2021,Financial Services,,United States,Miami,,3400.0,,Unicorn,,True,Unicorn Dataset,moonpay
Upstox,2021,Financial Services,,India,Mumbai,,3400.0,,Unicorn,,True,Unicorn Dataset,upstox
Improbable,2017,Media & Entertainment,,United Kingdom,London,,3360.0,,Unicorn,,True,Unicorn Dataset,improbable
Youxia Motors,2018,Industrials,,China,Shanghai,,3350.0,,Unicorn,,True,Unicorn Dataset,youxia motors
OwnBackup,2021,Enterprise Tech,,United States,Englewood Cliffs,,3350.0,,Unicorn,,True,Unicorn Dataset,ownbackup
Starburst,2021,Enterprise Tech,,United States,Boston,,3350.0,,Unicorn,,True,Unicorn Dataset,starburst
Sila,2019,Industrials,,United States,Alameda,,3300.0,,Unicorn,,True,Unicorn Dataset,sila
Komodo Health,2020,Healthcare & Life Sciences,,United States,San Francisco,,3300.0,,Unicorn,,True,Unicorn Dataset,komodo health
Kurly,2021,Consumer & Retail,,South Korea,Seoul,,3300.0,,Unicorn,,True,Unicorn Dataset,kurly
Cars24,2020,Industrials,,India,Gurgaon,,3300.0,,Unicorn,,True,Unicorn Dataset,cars24
BlockDaemon,2021,Financial Services,,United States,Los Angeles,,3250.0,,Unicorn,,True,Unicorn Dataset,blockdaemon
Dadi Cinema,2016,Media & Entertainment,,China,Shenzhen,,3240.0,,Unicorn,,True,Unicorn Dataset,dadi cinema
Aiven,2021,Enterprise Tech,,Finland,Helsinki,,3210.0,,Unicorn,,True,Unicorn Dataset,aiven
Thumbtack,2015,Consumer & Retail,,United States,San Francisco,,3200.0,,Unicorn,,True,Unicorn Dataset,thumbtack
Cedar,2021,Healthcare & Life Sciences,,United States,New York,,3200.0,,Unicorn,,True,Unicorn Dataset,cedar
Eruditus Executive Education,2021,Enterprise Tech,,India,Mumbai,,3200.0,,Unicorn,,True,Unicorn Dataset,eruditus executive education
Blockstream,2021,Financial Services,,Canada,Vancouver,,3200.0,,Unicorn,,True,Unicorn Dataset,blockstream
Innovaccer,2021,Healthcare & Life Sciences,,United States,San Francisco,,3200.0,,Unicorn,,True,Unicorn Dataset,innovaccer
Ironclad,2022,Enterprise Tech,,United States,Sacramento,,3200.0,,Unicorn,,True,Unicorn Dataset,ironclad
Eikon Therapeutics,2022,Healthcare & Life Sciences,,United States,Hayward,,3200.0,,Unicorn,,True,Unicorn Dataset,eikon therapeutics
Retool,2021,Enterprise Tech,,United States,San Francisco,,3200.0,,Unicorn,,True,Unicorn Dataset,retool
Verkada,2020,Industrials,,United States,San Mateo,,3200.0,,Unicorn,,True,Unicorn Dataset,verkada
PsiQuantum,2021,Enterprise Tech,,United States,Palo Alto,,3150.0,,Unicorn,,True,Unicorn Dataset,psiquantum
HighRadius,2020,Financial Services,,United States,Houston,,3100.0,,Unicorn,,True,Unicorn Dataset,highradius
Bilt Rewards,2022,Financial Services,,United States,New York,,3100.0,,Unicorn,,True,Unicorn Dataset,bilt rewards
Nuvemshop,2021,Consumer & Retail,,Brazil,Sao Paulo,,3100.0,,Unicorn,,True,Unicorn Dataset,nuvemshop
LayerZero Labs,2022,Enterprise Tech,,United States,New York,,3000.0,,Unicorn,,True,Unicorn Dataset,layerzero labs
Nord Security,2022,Enterprise Tech,,Lithuania,Vilnius,,3000.0,,Unicorn,,True,Unicorn Dataset,nord security
Yixia,2015,Media & Entertainment,,China,Beijing,,3000.0,,Unicorn,,True,Unicorn Dataset,yixia
Traveloka,2017,Consumer & Retail,,Indonesia,Jakarta,,3000.0,,Unicorn,,True,Unicorn Dataset,traveloka
SouChe Holdings,2017,Industrials,,China,Hangzhou,,3000.0,,Unicorn,,True,Unicorn Dataset,souche holdings
BGL Group,2017,Insurance,,United Kingdom,Peterborough,,3000.0,,Unicorn,,True,Unicorn Dataset,bgl group
Circle,2018,Financial Services,,United States,Boston,,3000.0,,Unicorn,,True,Unicorn Dataset,circle
Zuoyebang,2018,Consumer & Retail,,China,Beijing,,3000.0,,Unicorn,,True,Unicorn Dataset,zuoyebang
FlixMobility,2019,Industrials,,Germany,Munich,,3000.0,,Unicorn,,True,Unicorn Dataset,flixmobility
Wildlife Studios,2019,Media & Entertainment,,Brazil,Sao Paulo,,3000.0,,Unicorn,,True,Unicorn Dataset,wildlife studios
ApplyBoard,2020,Consumer & Retail,,Canada,Kitchener,,3200.0,,Unicorn,,True,Unicorn Dataset,applyboard
Forter,2020,Enterprise Tech,,United States,New York,,3000.0,,Unicorn,,True,Unicorn Dataset,forter
Calendly,2021,Enterprise Tech,,United States,Atlanta,,3000.0,,Unicorn,,True,Unicorn Dataset,calendly
BlockFi,2021,Financial Services,,United States,Jersey City,,3000.0,,Unicorn,,True,Unicorn Dataset,blockfi
ActiveCampaign,2021,Enterprise Tech,,United States,Chicago,,3000.0,,Unicorn,,True,Unicorn Dataset,activecampaign
CMR Surgical,2019,Healthcare & Life Sciences,,United Kingdom,Cambridge,,3000.0,,Unicorn,,True,Unicorn Dataset,cmr surgical
Lucid Software,2021,Enterprise Tech,,United States,South Jordan,,3000.0,,Unicorn,,True,Unicorn Dataset,lucid software
Age of Learning,2016,Consumer & Retail,,United States,Glendale,,3000.0,,Unicorn,,True,Unicorn Dataset,age of learning
Carbon Health,2021,Healthcare & Life Sciences,,United States,San Francisco,,3000.0,,Unicorn,,True,Unicorn Dataset,carbon health
Contentful,2021,Enterprise Tech,,Germany,Berlin,,3000.0,,Unicorn,,True,Unicorn Dataset,contentful
LaunchDarkly,2021,Enterprise Tech,,United States,Oakland,,3000.0,,Unicorn,,True,Unicorn Dataset,launchdarkly
Seismic,2018,Enterprise Tech,,United States,San Diego,,3000.0,,Unicorn,,True,Unicorn Dataset,seismic
Sky Mavis,2021,Media & Entertainment,,Vietnam,Ho Chi Minh City,,3000.0,,Unicorn,,True,Unicorn Dataset,sky mavis
Outschool,2021,Consumer & Retail,,United States,San Francisco,,3000.0,,Unicorn,,True,Unicorn Dataset,outschool
TradingView,2021,Financial Services,,United States,Westerville,,3000.0,,Unicorn,,True,Unicorn Dataset,tradingview
Groww,2021,Financial Services,,India,Bengaluru,,3000.0,,Unicorn,,True,Unicorn Dataset,groww
Podium,2020,Consumer & Retail,,United States,Lehi,,3000.0,,Unicorn,,True,Unicorn Dataset,podium
Via,2020,Industrials,,United States,New York,,3500.0,,Unicorn,,True,Unicorn Dataset,via
Anchorage Digital,2021,Financial Services,,United States,San Francisco,,3000.0,,Unicorn,,True,Unicorn Dataset,anchorage digital
